Serial Number	Cathode Luminous Sens. (µA/lm)	Anode Luminous Sens. (A/lm)	Anode Dark Current (nA)	Cathode Blue Sens. Index	Supply Voltage 2.105 (V)	Supply Voltage 106 (V)	P/V	T.T.S (ns)	Dark Counts (s-1)
347	91	13.4	110	13.1	1330	1800	2.57	2.33	1500
351	111	11.4	75	14	1420	1940	2.71	2.255	4700
352	118	17.9	1.2	14.7	1320	1790	2.5	2.175	4000
353	111	23.5	6.1	13.9	1240	1680	2.54	2.328	2700
354	135	17.1	3.1	15.2	1360	1900	2.5	2.296	5400
355	126	23.1	2	15.1	1260	1720	2.25	2.153	7000
356	129	29.6	4.1	15.7	1220	1650	2.25	2.259	3000
357	132	25.5	51	15.8	1260	1710	2.14	2.591	2100
358	88	11.1	1.1	13.5	1360	1870	2.18	2.158	6700
359	97	16.1	1.3	14	1290	1750	2	2.397	8800
360	105	19.6	1.2	14.3	1260	1710	2	2.144	8600
364	126	27.5	3.2	14.4	1230	1660	2.46	2.41	8300
365	119	17.5	1.2	14.2	1320	1800	2.54	2.293	7200
367	106	23.1	57	14.2	1250	1700	2.55	2.542	3100
368	126	27.8	1.2	15.3	1230	2650	2.58	2.234	2000
369	123	23.2	2.6	14.3	1260	1710	2.3	2.247	3300
370	92	10.5	0.18	13.7	1380	1890	2.41	2.07	1600
371	95	16.1	0.25	13.5	1280	1740	2.4	2.224	1800
372	113	20.1	0.36	13.8	1270	1720	2.46	2.166	4800
373	111	17.1	0.27	14.3	1310	1770	2.55	2.427	3700
374	100	16.2	0.22	13.8	1300	1750	3	2.157	2600
375	123	23.2	0.87	15.2	1260	1700	2.45	2.543	4800
376	124	16.1	0.88	14.8	1350	1850	2.91	2.049	2900
377	104	21.1	1.8	14.1	1250	1670	2.55	2.545	3700
378	120	24.9	5.8	15	1240	1670	2.7	2.443	5800
379	123	18.3	2.3	15.2	1320	1790	2.17	2.33	5200
380	106	19.7	1.5	14.3	1260	1700	2.82	2.296	4300
381	119	19	1.6	14.6	1300	1760	2.09	2.556	4500
382	106	21.9	1.8	13.9	1240	1670	2.25	2.228	7000
383	93	14	0.73	12.7	1320	1780	2.67	2.306	3000
384	121	22.3	1.8	14.3	1270	1720	2.15	2.291	5100
385	103	16.7	0.71	14	1300	1760	2.38	2.216	3600
386	98	12.5	0.76	12.9	1360	1740	2.07	2.251	5200
387	130	18.8	2.1	14.9	1330	1800	2.13	2.273	5600
389	110	18.5	0.8	14.4	1290	1750	2.44	2.323	4100
390	133	23.7	30	15.7	1270	1730	2.13	2.14	4100
392	110	15.7	0.85	13.6	1330	1810	2.33	2.244	7200
394	126	15.2	1.1	14.5	1370	1860	2.17	2.005	8100
395	109	20.2	0.69	14.1	1260	1710	3	2.252	3600
398	104	15.5	0.26	13.9	1320	1780	2.7	2.332	3100
399	111	19	0.75	14.4	1280	1730	2.25	2.281	4300
400	98	16.1	1	12.8	1300	1750	2.08	2.387	6100
401	88	11.5	0.33	12.6	1350	1840	2.42	2.177	2400
402	114	18	1.2	13.9	1300	1790	2.5	2.176	7800
405	102	17.1	5.9	13.4	1300	1750	2.31	2.199	5100
407	107	14.4	0.46	14	1350	1840	2.63	1.957	2500
